fips_code,State_name,County,Cases_7_day_count_change,cases_per_100K_7_day_count_change,new_cases_week_over_week_percent_change,percent_test_results_reported_positive_last_7_days,percent_test_results_reported_positive_last_7_days_7_day_count_change,total_test_results_reported_7_day_count_change,total_test_results_reported_7_day_count_change_per_100K,total_new_test_results_reported_week_over_week_percent_change,deaths_7_day_count_change,deaths_per_100K_7_day_count_change,new_deaths_week_over_week_percent_change,hotspot_history_last_14_days,numDaysDownward,population_density_2019,avg_hh_size,percent_uninsured_2019,poverty_rate_2019,percent_65_plus,percent_american_indian_ak_native,svi_rank,ccvi_score,aoc_continuum_status,report_date,case_death_start_date,case_death_end_date,testing_start_date,testing_end_date,hospital_data_collection_date,total_hospitals_reporting,admissions_covid_confirmed_last_7_days,admissions_covid_confirmed_7_day_rolling_average,admissions_covid_confirmed_last_7_days_per_100_beds,admissions_covid_confirmed_week_over_week_percent_change,percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_inpatient_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_icu_beds_used_confirmed_covid,cases_per_100k_14_day_count_change,percent_positive_14_day,school_composite,community_transmission_level,poverty_rate_2019_state_avg,percent_65_plus_state_avg,population_density_2019_state_avg,avg_hh_size_state_avg,percent_uninsured_2019_state_avg,population_density_2019_US_avg,avg_hh_size_US_avg,percent_uninsured_2019_US_avg,poverty_rate_2019_US_avg,percent_65_plus_US_avg,total_population_2019,Metro_status,NCHS_status,state_population,US_population,rucc_description
37001,North Carolina,Alamance,214,126.25,2.88,4.94,-0.64,2755,1625.28,-9.08,1,0.59,,0,19,400.31,2.43,11.9,16.8,17.13,0.2,0.7838,0.8,HighBurdenResolving,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,19,2.71,12.85,0.0556,0.1159,0,1,0.0714,-0.0214,1,264.88,5.2723,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,169509,Metro,Small metro,10488084,331996199,
37003,North Carolina,Alexander,42,112.01,-4.55,4.73,-1.35,317,845.4,-22.87,0,0,0,0,16,144.23,2.61,10.8,14.9,20.45,0.1,0.6341,0.82,ModerateBurdenResolving,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,1900-01-01,0,0,,,,,,0,,,0,178.68,5.4945,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,37497,Metro,Medium metro,10488084,331996199,
37005,North Carolina,Alleghany,16,143.67,-20,6.76,-1.5,74,664.45,-38.84,0,0,0,0,0,47.51,2.28,11.2,24.6,27.98,0.1,0.6268,0.82,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,0,0,0,,0,0,1,,,0,323.25,7.6923,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,11137,Non-metro,Noncore,10488084,331996199,
37007,North Carolina,Anson,26,106.36,4,5.35,1.13,486,1988.06,-17.91,0,0,0,0,0,46,2.47,12.2,19.8,19.35,0.3,0.9443,0.96,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,0,0,0,,0,0,1,,,0,220.9,4.731,Lower risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,24446,Non-metro,Noncore,10488084,331996199,
37009,North Carolina,Ashe,33,121.31,50,5.48,0.35,146,536.71,-25.13,0,0,0,0,0,64,2.23,11.9,18,26.65,0.3,0.4994,0.67,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,1,0.14,3.7,-0.6667,0.0688,0.0212,1,,,0,194.83,5.2786,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,27203,Non-metro,Noncore,10488084,331996199,
37011,North Carolina,Avery,17,96.83,-39.29,8.38,2.35,179,1019.54,-22.84,0,0,0,0,3,70.98,2.15,15,14.4,22.9,0.5,0.6446,0.6,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,0,0,0,,0,0,1,,,0,267.7,7.056,Moderate risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,17557,Non-metro,Noncore,10488084,331996199,
37013,North Carolina,Beaufort,35,74.48,-7.89,4.9,1.71,510,1085.24,-49.2,0,0,-100,0,0,56.48,2.42,10.4,19.2,24.55,0.1,0.7156,0.77,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,4,0.57,6.35,-0.4286,0.0726,0.0068,1,0.2078,0,1,148.96,3.7649,Lower risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,46994,Non-metro,Micropolitan,10488084,331996199,
37015,North Carolina,Bertie,16,84.45,6.67,5.68,1.05,176,928.91,-18.52,0,0,0,0,0,27.1,2.29,10.4,23,23.64,0.5,0.9385,0.98,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,0,0,0,,0,0,1,,,0,163.61,5.102,Moderate risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,18947,Non-metro,Noncore,10488084,331996199,
37017,North Carolina,Bladen,46,140.58,58.62,13,7.43,200,611.21,-30.31,0,0,0,0,0,37.4,2.38,14,26,22.8,2.2,0.9446,0.99,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,1,0.14,3.7,,0,0,1,0.0714,0.0714,1,232.26,8.6242,Higher risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,32722,Non-metro,Noncore,10488084,331996199,
37019,North Carolina,Brunswick,108,75.62,27.06,6.95,1.56,1094,766,-14.6,3,2.1,50,0,9,168.18,2.32,11,12.9,32.63,0.3,0.3583,0.75,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,2,4,0.57,2.78,0.3333,0.0159,-0.0183,2,0,-0.0143,1,135.14,6.1053,Moderate risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,142820,Metro,Medium metro,10488084,331996199,
